חותמת זמן,מהו גילך?,מגדר?,מה מספר המושבים ברכב הנוכחי?,סוג רישיון של הרכב שלך?,תיבת הילוכים ברכב?,יצרן של הרכב,דגם הרכב,תת דגם הרכב,שנת ייצור של הרכב,סוג מנוע,נפח מנוע,מחירון הרכב,הנעה,קטגורית הרכב,מרכב הרכב,סוג נסיעות שלך?,"האם הרכב משמש אותך לעבודה: ואם כן, לאיזה מטרות משמש?",מספר ילדים?,אזור מגורים?,כל כמה זמן את/ה נוהג/ת להחליף רכב?,מה סיבת ההחלפה בכל פעם?,האם תרצה/י לבחור ברכב חשמלי בעתיד?,מה הפרמטרים החשובים לך בבחירת סוג הרכב?
04/05/2022 10:51:07,17-27,נקבה,5,פרטי,ידני,פולסווגן,פולו,יאנג,2012,בנזין,1.4,"27,000",4X2,מיני,האצ'בק,משולב,לא,אין,צפון,מעל 5 שנים,שידרוג רכב,כן,"שירות, מחיר, אמינות, בטיחות"
04/05/2022 10:56:30,28-40,זכר,5,פרטי,אוטומט,הונדה,סיוויק,Comfort,2008,בנזין,1.8,"21,500",4X2,משפחתי,סדאן,משולב,לא,אין,צפון,בין 3-5,שידרוג רכב,כן,אמינות
04/05/2022 11:03:12,28-40,נקבה,5,פרטי,אוטומט,יונדאי,I20,Inspire,2012,בנזין,1.4,"22,300",4X2,מיני,האצ'בק,עירוני,לא,2,צפון,מעל 5 שנים,שידרוג רכב,כן,"מחיר, גודל(קטן)"
04/05/2022 11:06:48,28-40,זכר,5,פרטי,ידני,פולקסווגן,פולו,Trendline,2008,בנזין,1.4,"13,000",4X2,מיני,האצ'בק,משולב,לא,1,צפון,בין 3-5,אחר,כן,אמינות
04/05/2022 11:09:02,17-27,נקבה,5,פרטי,אוטומט,סוזוקי,סלריו,GLX,2017,בנזין,1,"36,800",4X2,מיני,האצ'בק,משולב,לא,אין,צפון,בין 3-5,שידרוג רכב,כן,"מחיר, אמינות, גודל(קטן)"
04/05/2022 11:12:11,17-27,נקבה,5,פרטי,אוטומט,סוזוקי,ספלאש,GLS,2013,בנזין,1.2,"26,000",4X2,מיני,האצ'בק,משולב,לא,אין,צפון,מעל 5 שנים,שידרוג רכב,לא,"מחיר, אמינות, גודל(קטן)"
04/05/2022 11:14:05,17-27,נקבה,5,פרטי,אוטומט,קיה,פיקנטו,LX,2017,בנזין,1.2,"48,200",4X2,מיני,האצ'בק,משולב,לא,אין,צפון,מעל 5 שנים,אחר,כן,"אמינות, בטיחות, גודל(קטן)"
04/05/2022 11:16:15,17-27,זכר,2,פרטי,ידני,סובארו,BRZ,קופה,2015,בנזין,2,"79,000",4X2,ספורט,קופה,משולב,לא,אין,צפון,בין 1-2 שנים,שידרוג רכב,לא,"שירות, אמינות"
04/05/2022 11:18:04,17-27,נקבה,5,פרטי,אוטומט,ניסאן,מיקרה,Visia,2012,בנזין,1.2,"23,500",4X2,מיני,האצ'בק,עירוני,לא,אין,צפון,מעל 5 שנים,אחר,כן,"מחיר, אמינות, גודל(קטן)"
04/05/2022 11:20:30,28-40,זכר,5,פרטי,אוטומט,הונדה,סיוויק האצ'בק החדשה,	Comfort,2018,בנזין,1.8,"50,000",4X2,משפחתי,האצ'בק,עירוני,לא,אין,מרכז,מעל 5 שנים,אי שביעות רצון מהרכב הקודם,כן,"שירות, מחיר, אמינות, בטיחות"
04/05/2022 11:25:42,60+,זכר,5,פרטי,ידני,דאצ'יה,סנדרו Stepway,Laureate,2020,דיזל,1.5,"62,600",4X2,משפחתי,האצ'בק,בין-עירוני,העברת ציוד,2,דרום,מעל 5 שנים,שידרוג רכב,כן,"מחיר, אמינות"
04/05/2022 11:28:23,17-27,נקבה,5,פרטי,אוטומט,מאזדה,3,Comfort,2014,בנזין,1.5,"52,400",4X2,משפחתי,סדאן,משולב,לא,אין,מרכז,מעל 5 שנים,שידרוג רכב,כן,"שירות, אמינות, בטיחות"
04/05/2022 11:30:18,17-27,זכר,5,פרטי,אוטומט,מאזדה,2,Active,2014,בנזין,1.5,"32,000",4X2,מיני,האצ'בק,משולב,לא,1,מחוז ירושלים,מעל 5 שנים,שידרוג רכב,כן,"שירות, מחיר, אמינות, גודל(קטן)"
04/05/2022 11:33:08,28-40,זכר,5,פרטי,אוטומט,מאזדה,3,Premium,2017,בנזין,2,"84,600",4X2,משפחתי,האצ'בק,עירוני,לא,2,צפון,בין 3-5,שידרוג רכב,כן,"שירות, אמינות, גודל(גדול)"
04/05/2022 11:55:18,40-60,נקבה,7,פרטי,אוטומט,שברולט,טראוורס,LTZ,2018,בנזין,3.6,"155,300",4X4,ג'יפ,פנאי שטח,משולב,לא,3,שפלה ומישור החוף הדרומי,בין 3-5,שידרוג רכב,כן,"שירות, בטיחות, גודל(גדול)"
04/05/2022 12:01:54,28-40,זכר,5,פרטי,אוטומט,רנו,מגאן גראנד קופה,Intense,2017,דיזל,1.5,"68,900",4X2,משפחתי,סדאן,משולב,,2,שפלה ומישור החוף הדרומי,בין 3-5,שידרוג רכב,כן,"אמינות, גודל(גדול)"
04/05/2022 12:05:36,28-40,נקבה,5,פרטי,אוטומט,אופל,אסטרה,Enjoy Plus,2017,בנזין,1.4,"51,000",4X2,משפחתי,האצ'בק,משולב,לא,אין,צפון,בין 3-5,שידרוג רכב,כן,"שירות, אמינות, בטיחות"
04/05/2022 12:07:45,17-27,זכר,5,פרטי,אוטומט,הונדה,ג'אז,Trend,2019,בנזין,1.3,"68,000",4X2,מיני,האצ'בק,משולב,לא,אין,מרכז,מעל 5 שנים,אי שביעות רצון מהרכב הקודם,כן,"שירות, אמינות, בטיחות"
04/05/2022 12:10:33,28-40,זכר,5,פרטי,אוטומט,שברולט,ספארק,Premier,2020,בנזין,1.4,"63,100",4X2,מיני,האצ'בק,משולב,לא,אין,מרכז,בין 3-5,אי שביעות רצון מהרכב הקודם,כן,גודל(קטן)
04/05/2022 12:12:47,60+,זכר,5,פרטי,אוטומט,יונדאי,איוניק,Premium,2017,בנזין,1.6,"73,700",4X2,משפחתי,האצ'בק,משולב,לא,2,צפון,מעל 5 שנים,שידרוג רכב,כן,"אמינות, בטיחות"
04/05/2022 12:23:45,28-40,נקבה,5,פרטי,אוטומט,הונדה,סיוויק האצ'בק החדשה,Sport,2009,בנזין,1.8,"25,000",4X2,משפחתי,האצ'בק,עירוני,לא,2,צפון,בין 1-2 שנים,אי שביעות רצון מהרכב הקודם,כן,"שירות, אמינות, בטיחות"
04/05/2022 12:28:02,60+,נקבה,5,פרטי,אוטומט,רנו,קדגא'ר,Intense,2016,דיזל,1.5,"55,000",4X2,ג'יפ,פנאי שטח,בין-עירוני,לא,3,צפון,מעל 5 שנים,שידרוג רכב,כן,"אמינות, בטיחות"
04/05/2022 12:31:05,40-60,זכר,7,פרטי,אוטומט,טויוטה,פריוס פלוס הייבריד,Regular,2021,בנזין,1.8,"135,300",4X2,משפחתי,סטיישן,משולב,לא,5,שפלה ומישור החוף הדרומי,בין 3-5,אי שביעות רצון מהרכב הקודם,לא,"שירות, אמינות, בטיחות, גודל(גדול)"
04/05/2022 12:47:44,28-40,זכר,5,פרטי,אוטומט,דייהטסו,טריוס,SX,2008,בנזין,1.5,"18,300",4X4,ג'יפ,האצ'בק,משולב,לא,1,דרום,מעל 5 שנים,אי שביעות רצון מהרכב הקודם,כן,"מחיר, אמינות, גודל(קטן)"
04/05/2022 12:50:17,28-40,נקבה,5,פרטי,אוטומט,יונדאי,טוסון,Arizona,2008,בנזין,2.7,"20,500",4X4,ג'יפ,פנאי שטח,עירוני,לא,1,מרכז,מעל 5 שנים,אי שביעות רצון מהרכב הקודם,כן,"אמינות, בטיחות, גודל(גדול)"
